Datum,Relativt arbetslöshetstal,Ungdomsarbetslöshetstal (under 25 år),Arbetslöshetstal 55 år o äldre,"Långtidsarbetslöshetstal, 6 mån +",Långtidsarbetslöshetstal under 25 år,Långtidsarbetslöshetstal 55 år o äldre,Lediga platser / arbetslösa,val,Antal,Primärnäringar_omsättning,Livsmedelsindustri_omsättning,Övrig industri_omsättning,"Vatten, gas, el, värme och avloppshantering_omsättning",Byggverksamhet_omsättning,Handel_omsättning,Transport_omsättning,Hotell och restaurang_omsättning,Finans och försäkring_omsättning,Företagstjänster_omsättning,Personliga tjänster_omsättning,Totalsumma_omsättning,Primärnäringar_lön,Livsmedelsindustri_lön,Övrig industri_lön,"Vatten, gas, el, värme och avloppshantering_lön",Byggverksamhet_lön,Handel_lön,Transport_lön,Hotell och restaurang_lön,Finans och försäkring_lön,Företagstjänster_lön,Personliga tjänster_lön,Totalsumma_lön
2006-02-01,2.5,6.8,2.5,0.4,0.2,0.8,145.0,0.0,126637,0.8,4.9,6.9,5.1,6.2,30.6,46.6,1.4,1.1,7.6,1.0,112.3,0.8,4.9,6.9,5.1,6.2,30.6,46.6,1.4,1.1,7.6,1.0,112.3
2006-03-01,2.2,4.6,2.0,0.5,0.3,0.9,124.1,0.0,150839,0.7,5.8,9.7,6.3,8.5,37.1,56.7,1.9,1.1,8.2,1.2,137.2,0.7,5.8,9.7,6.3,8.5,37.1,56.7,1.9,1.1,8.2,1.2,137.2
2006-04-01,2.0,3.9,1.9,0.5,0.3,1.0,105.5,0.0,175927,1.0,6.4,10.0,4.4,6.5,37.6,52.2,2.3,1.1,8.8,1.1,131.6,1.0,6.4,10.0,4.4,6.5,37.6,52.2,2.3,1.1,8.8,1.1,131.6
2006-05-01,1.8,3.4,1.7,0.4,0.0,0.7,109.4,0.0,200302,1.3,5.4,10.7,3.7,8.9,41.6,54.2,3.6,1.5,8.8,1.6,141.4,1.3,5.4,10.7,3.7,8.9,41.6,54.2,3.6,1.5,8.8,1.6,141.4
2006-06-01,2.0,3.2,2.0,0.3,0.0,0.8,79.1,0.0,201752,1.5,7.0,10.7,4.3,10.1,45.0,55.0,4.7,1.2,10.1,1.5,151.1,1.5,7.0,10.7,4.3,10.1,45.0,55.0,4.7,1.2,10.1,1.5,151.1
2006-07-01,2.1,4.1,2.1,0.3,0.0,0.7,72.4,0.0,321554,1.1,5.7,7.4,3.2,5.8,40.4,65.7,8.1,1.3,8.5,2.0,149.2,1.1,5.7,7.4,3.2,5.8,40.4,65.7,8.1,1.3,8.5,2.0,149.2
2006-08-01,2.1,4.9,2.2,0.3,0.1,0.7,55.1,0.0,237237,1.6,6.3,9.9,3.5,8.3,43.1,54.6,5.4,1.2,9.4,1.6,144.8,1.6,6.3,9.9,3.5,8.3,43.1,54.6,5.4,1.2,9.4,1.6,144.8
2006-09-01,2.1,6.9,2.4,0.3,0.1,0.7,35.9,0.0,172991,2.2,5.8,9.1,4.5,8.7,37.1,53.1,3.4,1.5,8.4,1.5,135.4,2.2,5.8,9.1,4.5,8.7,37.1,53.1,3.4,1.5,8.4,1.5,135.4
2006-10-01,2.5,8.7,2.3,0.3,0.1,0.6,40.3,0.0,163134,2.7,5.8,10.5,4.5,9.6,40.9,55.5,2.4,1.2,9.9,1.5,144.5,2.7,5.8,10.5,4.5,9.6,40.9,55.5,2.4,1.2,9.9,1.5,144.5
2006-11-01,2.5,7.7,2.7,0.3,0.2,0.8,29.2,0.0,150237,3.8,6.2,10.6,5.1,9.3,40.9,54.9,2.0,1.5,9.2,1.3,145.0,3.8,6.2,10.6,5.1,9.3,40.9,54.9,2.0,1.5,9.2,1.3,145.0
2006-12-01,2.5,6.2,3.0,0.4,0.3,0.9,39.9,0.0,157677,4.0,6.7,10.8,7.2,12.5,47.9,48.7,2.3,2.2,12.1,1.7,156.1,4.0,6.7,10.8,7.2,12.5,47.9,48.7,2.3,2.2,12.1,1.7,156.1
2007-01-01,2.7,7.8,2.9,0.4,0.7,1.0,97.0,0.0,104168,2.3,5.4,9.2,4.8,9.8,33.5,48.3,1.5,4.0,8.3,1.1,128.3,2.3,5.4,9.2,4.8,9.8,33.5,48.3,1.5,4.0,8.3,1.1,128.3
